UniqueEventId,UniqueEventTemplate,Occurrences,tf
628e66b6,"rotationForOrientationLw(orient=-<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",1,0.0005
b7a7efca,"ACTIVITY check resid: <*>, size=<*>",2,0.001
a5f1c3f0,shouldBlockLocation ret:true,4,0.002
0a050854,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3,0.0015
96658704,getCellLocation is blocked by permission manager uid:<*> pid:<*>,1,0.0005
d639dd08,isWiredHeadsetOn...,1,0.0005
0c87ac07,"setDataSource(<*>, <*>, <*>)",1,0.0005
fdd7deac,getStreamVolume treamType: <*>,1,0.0005
b2a3188b,"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1,0.0005
f1cf316c,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1,0.0005
f9e8e96e,updateChargingLocked: charging=false,1,0.0005
f2b17d58,"onReceive, action:<*>",1,0.0005
5185f06d,ACTION_BATTERY_CHANGED pluggedType: <*>,1,0.0005
f790bcce,ApStaDisabledState what=<*>,1,0.0005
96d275e9,DefaultState what=<*>,1,0.0005
f360e1f9,battery changed pluggedType: <*>,1,0.0005
1d75714a,RefreshBatteryInfo isBatteryLow: <*>,2,0.001
eb3415bd,ChargingSpeed Wattage: -<*> ST: <*> --> <*>,1,0.0005
e23c2601,handleBatteryUpdate,1,0.0005
ab275bc5,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[] sound=null tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE),1,0.0005
4b47cac8,START u0 {flg=<*> cmp=<*>/.ui.LauncherUI (has extras)} from uid <*> on display <*>,1,0.0005
2e531110,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*>/.ui.LauncherUI (has extras) },1,0.0005
8e52da4a,makeExpandedInvisible: mExpandedVisible=false,1,0.0005
